id_autoria,id_artigo,id_pessoa,ordem_autoria,autor_correspondente
1,1,1,1,False
2,1,2,2,False
3,1,3,3,False
4,1,4,4,False
5,1,5,5,False
6,1,6,6,False
7,2,7,1,False
8,2,8,2,False
9,3,9,1,False
10,3,10,2,False
11,3,11,3,False
12,3,12,4,False
13,4,13,1,False
14,4,14,2,False
15,4,15,3,False
16,5,16,1,False
17,5,17,2,False
18,6,18,1,False
19,6,19,2,False
20,7,20,1,False
21,7,21,2,False
22,7,22,3,False
23,7,23,4,False
24,7,24,5,False
25,8,25,1,False
26,8,26,2,False
27,8,27,3,False
28,9,28,1,False
29,9,29,2,False
30,10,30,1,False
31,10,31,2,False
32,10,32,3,False
33,10,33,4,False
34,10,34,5,False
35,11,35,1,False
36,11,36,2,False
37,12,36,1,False
38,12,37,2,False
39,12,38,3,False
40,12,35,4,False
41,12,39,5,False
42,13,40,1,False
43,13,41,2,False
44,14,42,1,False
45,14,43,2,False
46,14,44,3,False
47,14,45,4,False
48,15,46,1,False
49,15,47,2,False
50,15,48,3,False
51,15,49,4,False
52,16,50,1,False
53,16,51,2,False
54,16,52,3,False
55,17,53,1,False
56,17,54,2,False
57,17,55,3,False
58,17,56,4,False
59,18,57,1,False
60,18,58,2,False
61,18,59,3,False
62,19,60,1,False
63,19,61,2,False
64,20,62,1,False
65,20,63,2,False
66,20,64,3,False
67,20,65,4,False
68,21,66,1,False
69,21,67,2,False
70,21,68,3,False
71,22,69,1,False
72,22,70,2,False
73,22,31,3,False
74,22,71,4,False
75,23,72,1,False
76,23,73,2,False
77,23,74,3,False
78,23,75,4,False
79,24,76,1,False
80,24,77,2,False
81,24,78,3,False
82,24,79,4,False
83,25,80,1,False
84,25,81,2,False
85,26,82,1,False
86,27,83,1,False
87,27,84,2,False
88,28,85,1,False
89,28,86,2,False
90,28,84,3,False
91,29,87,1,False
92,29,88,2,False
93,30,89,1,False
94,30,90,2,False
95,30,91,3,False
96,31,92,1,False
97,31,93,2,False
98,31,94,3,False
99,32,95,1,False
100,32,96,2,False
101,32,97,3,False
102,32,98,4,False
103,33,95,1,False
104,33,96,2,False
105,33,99,3,False
106,33,97,4,False
107,34,100,1,False
108,34,101,2,False
109,34,102,3,False
110,34,103,4,False
111,34,104,5,False
112,35,105,1,False
113,35,106,2,False
114,35,107,3,False
