"id_pessoa","nome","instituicao"
"1","Damião R. Almeida","Universidade Federal de Campina Grande (UFCG)"
"2","Cláudio S. Baptista","Universidade Federal de Campina Grande (UFCG)"
"3","Elvis R. da Silva","Universidade Federal de Campina Grande (UFCG)"
"4","Cláudio E. C. Campelo","Universidade Federal de Campina Grande (UFCG)"
"5","Camilo P. Nunes","Universidade Federal de Campina Grande (UFCG)"
"6","Bruno A. D. da Costa","Universidade Federal de Campina Grande (UFCG)"
"7","Wilkerson de L. Andrade","Universidade Federal de Campina Grande (UFCG)"
"8","Jairson M. Cabral","Universidade Federal de Campina Grande (UFCG)"
"9","Pedro Ribeiro de Andrade Neto","Universidade Federal do Paraná (UFPR)"
"10","Paulo Justiniano Ribeiro Junior","Universidade Federal do Paraná (UFPR)"
"11","Karla Donato Fook","Centro Federal de Educacação Tecnologica do Maranhão (CEFET/MA)"
"12","Vantier Veronezi Bagli","Instituto Nacional de Pesquisas Espaciais (INPE)"
"13","Leila M. G. Fonseca","Instituto Nacional de Pesquisas Espaciais (INPE)"
"14","João Pedro Cordeiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"15","Gilberto Câmara","Instituto Nacional de Pesquisas Espaciais (INPE)"
"16","Ubirajara F. Moura","Fundação de Ciência, Aplicações e Tecnologias Espaciais (FUNCATE)"
"17","Cláudio C. Barbosa","Instituto Nacional de Pesquisas Espaciais (INPE)"
"18","Felipe Almeida","Instituto Tecnologico de Aeronáutica (ITA)"
"19","Marcelo A. Costa","Universidade Federal de Minas Gerais (UFMG)"
"20","Luciano R. Schrerrer","Universidade Federal de Minas Gerais (UFMG)"
"21","Renato M. Assunção","Universidade Federal de Minas Gerais (UFMG)"
"22","Leonardo M. Couto","Desconhecida"
"23","Marco A. Casanova","Desconhecida"
"24","Daniel Schwabe","Desconhecida"
"25","Danilo Palomo","Instituto Nacional de Pesquisas Espaciais (INPE)"
"26","Ricardo Cartaxo Modesto de Souza","Instituto Nacional de Pesquisas Espaciais (INPE)"
"27","Olga Regina Fradico de Oliveira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"28","Clodoveu A. Davis Junior","Universidade Católica de Minas Gerais"
"29","Leonardo Lacerda Alves","Universidade Católica de Minas Gerais"
"30","Karine Reis Ferreira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"31","Lúbia Vinhas","Instituto Nacional de Pesquisas Espaciais (INPE)"
"32","Gilberto Ribeiro de Queiroz","Instituto Nacional de Pesquisas Espaciais (INPE)"
"33","Fernando Renier Gibotti","Instituto Nacional de Pesquisas Espaciais (INPE)"
"34","Renato Almeida Nogueira","Information Systems Program - Mirassol College  Mirassol SP"
"35","Cirano Iochpe","Universidade Federal do Rio Grande do Sul (UFRGS)"
"36","Guillermo N. Hess","Universidade Federal do Rio Grande do Sul (UFRGS)"
"37","Cláudio Ruschel","Universidade Federal do Rio Grande do Sul (UFRGS)"
"38","Alécio P. D. Binotto","Universidade Federal do Rio Grande do Sul (UFRGS)"
"39","Márcia A. S. de Almeida","Universidade Federal do Rio Grande do Sul (UFRGS)"
"40","Luciana V. da Rocha","Universidade Federal do Rio Grande do Sul (UFRGS)"
"41","Elias Teixeira Krainski","Universidade Federal do Paraná (UFPR)"
"42","Paulo Justiniano Ribeiro Júnior","Universidade Federal do Paraná (UFPR)"
"43","Pedro Ribeiro Andrade Neto","Universidade Federal do Paraná (UFPR)"
"44","Renato Beozzo Bassanezi","Universidade Federal do Paraná (UFPR)"
"45","Carlos M. de Lima","Universidade Federal do Rio Grande do Norte (UFRN)"
"46","Luiz M. G. Gonçalves","Universidade Federal do Rio Grande do Norte (UFRN)"
"47","Cristiana Bentes","Universidade Federal do Rio de Janeiro (UFRJ)"
"48","Ricardo Farias","Universidade Federal do Rio de Janeiro (UFRJ)"
"49","Wladimir S. Meyer","Universidade Federal do Rio de Janeiro (UFRJ)"
"50","Jano Moreira de Souza","Universidade Federal do Rio de Janeiro (UFRJ)"
"51","Milton Ramos Ramirez","Universidade Federal do Rio de Janeiro (UFRJ)"
"52","Lia Toledo Moreira Mota","Universidade Estadual de Campinas (UNICAMP)"
"53","Alexandre de Assis Mota","Universidade Estadual de Campinas (UNICAMP)"
"54","Wu Shin-Ting","Universidade Estadual de Campinas (UNICAMP)"
"55","Vinícius Lopes Rodrigues","Universidade Federal de Viçosa (UFV)"
"56","Ângelo Sousa Cavalier","Universidade Federal de Viçosa (UFV)"
"57","Marcus Vinícius Alvim Andrade","Universidade Federal de Viçosa (UFV)"
"58","Maytham Safar","Kuwait University"
"59","Ahmad Al-Saleh","Kuwait University"
"60","Joelma Carla Santos","Instituto Nacional de Pesquisas Espaciais (INPE)"
"61","João Ricardo de F. Oliveira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"62","Luciano V. Dutra","Instituto Nacional de Pesquisas Espaciais (INPE)"
"63","Alexandre E. dos Santos","Universidade Federal de Minas Gerais (UFMG)"
"64","Alexandre L. Rodrigues","Universidade Federal de Minas Gerais (UFMG)"
"65","Danilo L. Lopes","Universidade Federal de Minas Gerais (UFMG)"
"66","Juliano Schimiguel","Universidade Estadual de Campinas (UNICAMP)"
"67","M. Cecília C. Baranauskas","Universidade Estadual de Campinas (UNICAMP)"
"68","Claudia Bauzer Medeiros","Universidade Estadual de Campinas (UNICAMP)"
"69","Adler C. G. da Silva","Universidade Estadual de Campinas (UNICAMP)"
"70","Shin-Ting Wu","Universidade Estadual de Campinas (UNICAMP)"
"71","Taynãna C. Simões","Universidade Federal de Minas Gerais (UFMG)"
"72","Lirisnei Gomes de Sousa","Universidade Federal do Rio Grande do Norte (UFRN)"
"73","Jair C. Leite","Universidade Federal do Rio Grande do Norte (UFRN)"
"74","Vânia Vidal","Universidade Federal do Ceará (UFC)"
"75","Fernando Lemos","Universidade Federal do Ceará (UFC)"
"76","Fábio Feitosa","Universidade Federal do Ceará (UFC)"
"77","Missae Yamamoto","Instituto Nacional de Pesquisas Espaciais (INPE)"
"78","Gilberto Camara","Instituto Nacional de Pesquisas Espaciais (INPE)"
"79","Luiz Antonio Nogueira Lorena","Instituto Nacional de Pesquisas Espaciais (INPE)"
"80","Panfeng Zhou","Northeastern University"
"81","Jun Gong","Northeastern University"
