id_artigo,titulo,abstract,n_paginas,tipo_artigo,lingua,n_edicao
1,Georeferencing facts in road networks,"Information about a location can be imprecise and context dependent. This is especially true for road networks, where some streets are long or two-way, and just the name of a street may represent low-value information for certain applications. To improve precision, geocoding commonly includes the number of a building on a street, the highway location, often indicated in kilometers, or the postal code in a town or city. One can also improve the description of a location using spatial attributes, because they are familiar concepts for humans. This article outlines a model to precisely georeference locations, using geocoding and routing services and considering the natural attributes used by humans regarding locations.",8,full,english,13
2,A conceptual model for representation of taxi trajectories,"The large-scale capture of data about the motion of moving objects has enabled the development of geospatial tools to analyze and present the characteristics of these objects behavior in many different fields. Intelligent Transportation Systems, for instance, make intensive use of data collected from embedded in-vehicle devices to analyze and monitor roads conditions and the flow of vehicles and passengers of the public transportation system. The taxi fleet is an important transport modality complementary to the public transportation system. Thus, analysis of taxis movements can be used to capture information about the condition of the traffic and to understand at a finer level of granularity the movement of people in an urban environment. This paper addresses the problem of mapping taxi raw trajectory data onto a more abstract and structured data model. The proposed data model aims to create an infrastructure to facilitate the implementation of algorithms for data mining and knowledge discovery about taxi movements and peoples behavior using this means of transport.",12,full,english,13
3,Estatãstica de varredura unidimensional para detecãão de conglomerados de acidentes de trãnsito em arruamentos,"This paper presents a new approach for cluster detection of spatial point patterns which are restricted to street networks. The proposed method is an extension of the temporal scan statistic which is applied to spatial line segments. Geographical coordinates of points are initially mapped into a one dimension geographical structure, which is the geo-coded line of the street of interest. In this dimension, the events are identified by their relative distances to a point of origin. A one-dimensional varying scanning window identifies portions of the street where the incidence rate of car accidents is higher than the expected. Statistical inference is obtained using Monte Carlo simulations. The methodology was implemented in the R software and provides a friendly graphical user interfaces. The software provides online interface with Google maps.",6,full,portuguese,13
4,Um framework para recuperaãão semãntica de dados espaciais,"Geographic data represent objects for which the geographic location is an essential feature. Since they represent real-world objects, these data present a lot of intrinsic semantic, which is not always explicitly formalized. Explicit semantic allows higher accuracy in data retrieval and interpretation. The goal of this work is to propose a framework for management and retrieval of geographic data, combining semantic and spatial aspects. The main contributions of this work are the specification and implementation of the proposed framework.",6,full,portuguese,13
5,A conceptual analysis of resolution,"The literature in geographic information science and related fields contains a variety of definitions and understandings for the term resolution. The goal of this paper is to discuss them and to provide a framework that makes at least some of these different senses compatible. The ultimate goal of our work is an ontological account of resolution. In a first stage, resolution and related notions are examined along the phenomenon, sampling and analysis dimensions. In a second stage, it is suggested that a basic distinction should be drawn between definitions of resolution, proxy measures for resolution, and notions related to resolution but different from it. It is illustrated how this distinction helps to reconcile several notions of resolution in the literature.",12,full,english,13
6,Ontology-based geographic data access in a peer data management system,"Ontology-Based Data Access (OBDA) is the problem of accessing one or more data sources by means of a conceptual representation expressed in terms of an ontology. We apply the principles underlying an ODBA in the light of a Peer Data Management System, using geographic databases as data sources. When dealing with geospatial data, specific problems regarding query answering and data visualization occur. To help matters, in this work, we present an approach and a tool, named easeGO, which provides access to a geographic database using an ontology as a middle layer between the user interface and the data. It also allows users to formulate queries using visual elements and spatial operators. We present the principles underlying our approach and examples illustrating how it works.",12,full,english,13
7,Distributed vector based spatial data conflation services,"Spatial data conflation is a key task for consolidating geographic knowledge from different data sources covering overlapping regions that were gathered using different methodologies and objectives. Nowadays this research area is becoming more challenging because of the increasing size and number of overlapping spatial data sets being produced. This paper presents an approach towards distributed vector to vector conflation, which can be applied to overlapping heterogeneous spatial data sets through the implementation of Web Processing Services (WPS). Initial results show that distributed spatial conflation can be effortlessly achieved if during the preprocessing phase disjoint clusters are created. However, if this is not possible further horizontal conflation algorithms are applied to neighbor clusters before obtaining the final data set.",7,full,english,13
8,GeoSQL: um ambiente online para aprendizado de SQL com extensães espaciais,"The standardization of the Structured Query Language (SQL) was important for the popularity of relational databases. The SQL learning process is supported by several resources, such as simulators and interactive tools. However, as far as we could ascertain, there are no tools to promote the learning of spatial extensions to SQL in geographic databases. This work presents GeoSQL, an online learning environment for SQL with spatial extensions, which is able to render the query results and can overlay the results of multiple queries for visual comparison. GeoSQL was developed entirely using free software, and can be operated using only a standard browser. RESUMO: A padronizaãão da Structured Query Language (SQL) foi importante para a popularizaãão dos bancos de dados relacionais. O aprendizado de SQL ã apoiado por diversos recursos tecnolãgicos, como simuladores e ferramentas interativas. No entanto, não encontramos tais recursos para promover o ensino de extensães espaciais de SQL em bancos de dados geogrãficos. Este trabalho apresenta o GeoSQL, ambiente online de aprendizado de SQL com extensães espaciais, capaz de renderizar e de sobrepor os resultados de multiplas consultas para comparaãão visual. O GeoSQL foi totalmente desenvolvido usando software livre e pode ser operado usando apenas um navegador padrão.",6,short,portuguese,13
9,M-Attract: assessing the attractiveness of places by using moving objects trajectories data,"Attractiveness of places has been studied by several sciences, giving rise to distinct ways for assessing it. However, the attractiveness evaluation methods currently available lack versatility to analyze diverse attractiveness phenomena in different kinds of places and spatial scales. This article describes a novel method, called M-Attract, to assess interesting attractiveness of places, based on moving objects trajectories. M-Attract examines trajectory episodes (e.g., stop at, pass by) that happen in places and their encompassing regions to compute their attractiveness. It is more flexible than state-of-the-art methods, with respect to land parcels, parameters, and measures used for attractiveness assessment. M-Attract has been evaluated in experiments with real data, which demonstrate its contributions to analyze attractiveness of places.",12,full,english,13
10,Determinação da rede de drenagem em grandes terrenos armazenados em memória externa,"The drainage network computation is not a trivial task for huge terrains stored in the external memory since, in this case, the time required to access the external memory is much larger than the internal processing time. In this context, this paper presents an efficient algorithm for computing the drainage network in huge terrains where the main idea is to adapt the method RWFlood [Magalhães et al. 2012b] reducing the number of disk access. The proposed method was compared against some classic methods as TerraFlow and r.watershed.seg and, as the tests showed, it was much faster (in some cases, more than 30 times) than both methods. RESUMO: A determinaãão da rede de drenagem ã uma aplicaãão importante em sistemas de informaãão geogrãfica e pode requerer um elevado tempo de processamento quando envolve grandes terrenos armazenados em memãria externa. Neste contexto, este artigo propãe um mãtodo eficiente para computar a rede de drenagem em grandes terrenos, cuja ideia bãsica ã adaptar o mãtodo RWFlood [Magalhães et al. 2012b] de modo a reduzir o numero de acessos ao disco. O mãtodo proposto foi comparado com outros mãtodos recentemente apresentados na literatura como TerraFlow e r.watershed.seg e os testes mostraram que o mãtodo proposto ã mais eficiente (cerca de 30 vezes) que os demais.",6,short,portuguese,13
11,Data quality in agriculture applications,"Data quality is a common concern in a wide range of domains. Since agriculture plays an important role in the Brazilian economy, it is crucial that the data be useful and with a proper level of quality for the decision making process, planning activities, among others. Nevertheless, this requirement is not often taken into account when different systems and databases are modeled. This work presents a review about data quality issues covering some efforts in agriculture and geospatial science to tackle these issues. The goal is to help researchers and practitioners to design better applications. In particular, we focus on the different dimensions of quality and the approaches that are used to measure them.",12,full,english,13
12,Geocodificaãão de endereãos urbanos com indicaãão de qualidade,"Urban addresses are one of the most important ways to express a geographic location in cities. Many conventional information systems have attributes for addresses in order to include an indirect reference to space. Obtaining coordinates from addresses is one of the most important geocoding methods. Such activity is hindered by frequent variations in the addresses, such as abbreviations and missing components. This paper presents a geocoding method for urban addresses, in which address fragments are recognized from the input and a reference geographic database is searched for matching addresses for the corresponding coordinates. Output includes a geographic certainty indicator, which informs the expected quality of the results. An experimental evaluation of the method is presented.",6,short,portuguese,13
13,Expansão do conteãdo de um gazetteer: nomes hidrogrãficos,"The efficiency of a geographic database is directly related with the quality and completeness of its contents. In the case of gazetteers, i.e., place name dictionaries, previous work proposed ontological extensions based on the storage of geographic shape and on multiple types of relationships among places. However, in order to be more useful, gazetteers must contain large volumes of information on a large variety of themes, all of which must be geographically represented and related to places. The objective of this work is to propose techniques to expand a gazetteers content using relevance criteria, increasing its usefulness to solve problems such as place name disambiguation. We demonstrate these techniques using data on Brazilian rivers, which are preprocessed, and the appropriate relationships are identified and created.",6,short,portuguese,13
14,"GeoSTAT ã a system for visualization, analysis and clustering of distributed spatiotemporal data","Nowadays, there is a considerable amount of spatiotemporal data available on the web. The visualization of these data requires several visual resources which helps users to have a correct interpretation of the data set. Furthermore, the use of data mining algorithms has proven relevant in helping the exploratory analysis of spatiotemporal data. This paper proposes the GeoSTAT (GEOgraphic SpatioTemporal Analysis Tool), a system that includes spatial and temporal visualization techniques and offers a spatiotemporal adaptation of clustering algorithms provided by the Weka data mining toolkit. A case study was realized to demonstrate the end-user experience and some advantages achieved using the proposed system.",12,full,english,13
15,TerraME observer: an extensible real-time visualization pipeline for dynamic spatial models,"This paper presents ongoing research results of an extensible visualization pipeline for real-time exploratory analysis of spatially explicit simulations. We identify the software requirements and discuss the main conceptual and design issues. We propose a protocol for data serialization, a high performance monitoring mechanism, and graphical interfaces for visualization. Experiments for performance analysis have shown that combining multithreading and the BlackBoard design pattern reduces the visualization response time in 50%, with no significant increase in memory consumption. The components presented in this paper have been integrated in the TerraME modeling platform for simulation of terrestrial systems.",12,full,english,13
16,Proposta de infraestrutura para a gestão de conhecimento científico sensível ao contexto geográfico,"This work discuss how the area of e-Science has been exploited to develop an infrastructure capable of helping the management of scientific knowledge produced in the Image Processing Division at INPE, focusing on but not limited to, geospatial artifacts, applying a case study using as inputs several studies conducted by researchers at INPE in the area of the Tapajos National Forest RESUMO: Neste trabalho ã abordado como a ãrea de e-Science foi explorada para o desenvolvimento de uma infraestrutura capaz de auxiliar a gestão do conhecimento cientãfico produzido na Divisão de Processamento de Imagens do INPE, com foco em, mas não limitado a, artefatos sensãveis ao contexto geogrãfico, aplicado um estudo de caso usando como insumos diversos trabalhos realizadas por pesquisadores do INPE na região da Floresta Nacional do Tapajãs.",6,short,portuguese,13
17,Challenges of the anthropocene epoch ã supporting multi-focus research,"Work on multiscale issues presents countless challenges that have been long attacked by GIScience researchers. Most results either concentrate on modeling or on data structures/database aspects. Solutions go either towards generalization (and/or virtualization of distinct scales) or towards linking entities of interest across scales. However, researchers seldom take into account the fact that multiscale scenarios are increasingly constructed cooperatively, and require distinct perspectives of the world. The combination of multiscale and multiple perspectives per scale constitutes what we call multifocus research. This paper presents our solution to these issues. It builds upon a specific database version model the multiversion MVBD which has already been successfully implemented in several geospatial scenarios, being extended here to support multi-focus research.",10,full,english,13
18,Acessibilidade em mapas urbanos para portadores de deficiãncia visual total,"Um dos Grandes Desafios para a Computaãão brasileira ã garantir o acesso participativo e universal do cidadão brasileiro ao conhecimento. No entanto, ainda hoje, a maior parte das informaãães geogrãficas contidas em mapas na Web estã disponãvel apenas atravãs de imagens, que não são acessãveis para pessoas com deficiãncia visual total. Tais pessoas contam com recursos, tais como sãntese de voz e leitura de textos na tela, que não são facilmente adaptãveis para o conteãdo geogrãfico. Este artigo apresenta um sistema em desenvolvimento que tem como principal objetivo tornar as informaãães contidas em mapas de ruas e avenidas acessãveis para essas pessoas, possibilitando que elas explorem o conteãdo geogrãfico e naveguem no espaão urbano de acordo com o seu interesse.",6,short,portuguese,13
