"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","2","4","1","TRUE"
"5","2","5","2","FALSE"
"6","2","6","3","FALSE"
"7","3","7","1","TRUE"
"8","3","8","2","FALSE"
"9","3","9","3","FALSE"
"10","3","10","4","FALSE"
"11","3","11","5","FALSE"
"12","4","12","1","TRUE"
"13","4","13","2","FALSE"
"14","4","14","3","FALSE"
"15","4","15","4","FALSE"
"16","4","16","5","FALSE"
"17","4","17","6","FALSE"
"18","5","18","1","TRUE"
"19","5","19","2","FALSE"
"20","5","20","3","FALSE"
"21","5","21","4","FALSE"
"22","6","22","1","TRUE"
"23","6","23","2","FALSE"
"24","6","24","3","FALSE"
"25","6","25","4","FALSE"
"26","7","26","1","TRUE"
"27","7","27","2","FALSE"
"28","7","28","3","FALSE"
"29","7","29","4","FALSE"
"30","7","30","5","FALSE"
"31","7","31","6","FALSE"
"32","7","32","7","FALSE"
"33","7","33","8","FALSE"
"34","7","34","9","FALSE"
"35","7","35","10","FALSE"
"36","8","36","1","TRUE"
"37","8","37","2","FALSE"
"38","8","38","3","FALSE"
"39","9","19","1","TRUE"
"40","9","39","2","FALSE"
"41","9","20","3","FALSE"
"42","10","40","1","TRUE"
"43","10","41","2","FALSE"
"44","10","42","3","FALSE"
"45","11","43","1","TRUE"
"46","11","44","2","FALSE"
"47","11","45","3","FALSE"
"48","12","46","1","TRUE"
"49","12","47","2","FALSE"
"50","12","48","3","FALSE"
"51","13","49","1","TRUE"
"52","13","50","2","FALSE"
"53","13","51","3","FALSE"
"54","13","52","4","FALSE"
"55","14","53","1","TRUE"
"56","14","54","2","FALSE"
"57","14","55","3","FALSE"
"58","14","56","4","FALSE"
"59","14","57","5","FALSE"
"60","15","58","1","TRUE"
"61","15","59","2","FALSE"
"62","16","60","1","TRUE"
"63","16","61","2","FALSE"
"64","16","62","3","FALSE"
"65","16","63","4","FALSE"
"66","16","64","5","FALSE"
"67","17","65","1","TRUE"
"68","17","50","2","FALSE"
"69","18","66","1","TRUE"
"70","18","67","2","FALSE"
"71","18","17","3","FALSE"
"72","19","68","1","TRUE"
"73","19","69","2","FALSE"
"74","19","45","3","FALSE"
"75","20","70","1","TRUE"
"76","20","71","2","FALSE"
"77","20","72","3","FALSE"
"78","20","73","4","FALSE"
