id_revisor,id_pessoa,n_edicao
1,111,22
2,110,22
3,112,22
4,113,22
5,114,22
6,115,22
7,116,22
8,117,22
9,118,22
10,119,22
11,120,22
12,121,22
13,122,22
14,123,22
15,124,22
16,125,22
17,126,22
18,127,22
19,128,22
20,129,22
21,130,22
22,131,22
23,132,22
24,91,22
25,133,22
26,134,22
27,135,22
28,136,22
29,137,22
30,138,22
31,139,22
32,140,22
33,141,22
34,142,22
35,143,22
36,144,22
37,145,22
38,146,22
39,147,22
40,148,22
41,149,22
42,150,22
43,151,22
44,152,22
45,153,22
46,154,22
47,155,22
48,156,22
49,157,22
50,158,22
51,159,22
52,62,22
53,160,22
54,161,22
55,162,22
56,163,22
57,164,22
58,165,22
59,166,22
60,167,22
61,168,22
