id_autoria,id_artigo,id_pessoa,ordem_autoria,autor_correspondente
1,1,1,1,True
2,1,2,2,False
3,1,3,3,False
4,2,4,1,True
5,2,5,2,False
6,2,6,3,False
7,2,7,4,False
8,2,8,5,False
9,3,9,1,True
10,3,10,2,False
11,5,11,1,True
12,5,6,2,False
13,5,12,3,False
14,5,13,4,False
15,5,14,5,False
16,6,15,1,True
17,6,16,2,False
18,6,17,3,False
19,6,18,4,False
20,7,19,1,True
21,7,20,2,False
22,7,21,3,False
23,9,22,1,True
24,9,23,2,False
25,11,24,1,True
26,11,25,2,False
27,12,26,1,True
28,12,25,2,False
29,13,4,1,True
30,13,6,2,False
31,13,7,3,False
32,13,27,4,False
33,13,28,5,False
34,14,4,1,True
35,14,5,2,False
36,14,29,3,False
37,14,30,4,False
38,14,6,5,False
39,14,7,6,False
40,14,31,7,False
41,14,32,8,False
42,15,33,1,True
43,15,10,2,False
44,16,11,1,True
45,16,14,2,False
46,16,6,3,False
47,16,12,4,False
48,17,34,1,True
49,17,35,2,False
50,18,36,1,True
51,18,37,2,False
52,18,38,3,False
53,19,39,1,True
54,19,40,2,False
55,20,41,1,True
56,20,42,2,False
57,21,43,1,True
58,21,22,2,False
59,21,44,3,False
60,22,45,1,True
61,22,46,2,False
62,23,47,1,True
63,23,48,2,False
64,23,4,3,False
65,24,49,1,True
66,24,50,2,False
67,24,51,3,False
68,25,52,1,True
69,25,53,2,False
70,26,54,1,True
71,26,55,2,False
72,26,56,3,False
73,27,57,1,True
74,27,58,2,False
75,27,59,3,False
76,27,60,4,False
77,29,61,1,True
78,29,62,2,False
79,29,32,3,False
80,30,63,1,True
81,30,64,2,False
82,31,65,1,True
83,31,66,2,False
84,31,67,3,False
85,32,68,1,True
86,32,69,2,False
87,32,70,3,False
88,33,71,1,True
89,33,72,2,False
90,34,73,1,True
91,34,74,2,False
92,34,75,3,False
93,35,26,1,True
94,35,25,2,False
95,36,4,1,True
96,36,30,2,False
97,36,5,3,False
98,36,7,4,False
99,36,6,5,False
100,36,76,6,False
101,36,77,7,False
102,37,78,1,True
103,37,79,2,False
104,37,80,3,False
105,38,81,1,True
106,38,82,2,False
107,38,83,3,False
108,38,84,4,False
109,38,85,5,False
110,38,86,6,False
111,39,87,1,True
112,39,88,2,False
113,39,89,3,False
114,42,90,1,True
115,42,91,2,False
116,42,7,3,False
117,42,6,4,False
118,43,92,1,True
119,43,93,2,False
120,44,94,1,True
121,44,95,2,False
122,45,96,1,True
123,45,97,2,False
124,46,98,1,True
125,46,99,2,False
126,47,57,1,True
127,47,58,2,False
128,47,100,3,False
129,48,101,1,True
130,48,102,2,False
131,48,14,3,False
132,49,103,1,True
133,49,104,2,False
134,49,91,3,False
135,49,105,4,False
136,50,106,1,True
137,50,107,2,False
138,50,108,3,False
139,51,109,1,True
140,51,110,2,False
141,51,111,3,False
142,52,112,1,True
143,52,113,2,False
144,52,114,3,False
145,52,115,4,False
146,53,116,1,True
147,53,117,2,False
148,53,67,3,False
149,54,118,1,True
150,54,119,2,False
151,55,120,1,True
152,55,121,2,False
153,55,73,3,False
154,55,122,4,False
155,55,123,5,False
156,55,124,6,False
157,55,125,7,False
158,56,126,1,True
159,56,127,2,False
160,57,90,1,True
161,57,4,2,False
162,57,128,3,False
163,58,19,1,True
164,58,129,2,False
165,59,130,1,True
166,59,131,2,False
167,60,132,1,True
168,60,133,2,False
169,61,134,1,True
170,61,135,2,False
171,61,136,3,False
172,61,137,4,False
173,61,138,5,False
174,62,139,1,True
175,62,4,2,False
176,62,140,3,False
177,62,141,4,False
178,63,138,1,True
179,63,142,2,False
180,63,143,3,False
181,64,144,1,True
182,64,4,2,False
183,64,145,3,False
184,64,146,4,False
185,64,5,5,False
186,65,147,1,True
187,65,148,2,False
188,65,57,3,False
189,66,149,1,True
190,66,42,2,False
191,67,30,1,True
192,67,150,2,False
193,67,151,3,False
194,67,4,4,False
195,68,152,1,True
196,68,153,2,False
197,69,154,1,True
198,69,4,2,False
199,69,6,3,False
200,69,155,4,False
201,70,156,1,True
202,70,157,2,False
203,70,158,3,False
204,71,159,1,True
205,71,10,2,False
206,71,160,3,False
207,71,161,4,False
208,72,162,1,True
209,72,163,2,False
210,73,164,1,True
211,73,165,2,False
212,73,166,3,False
213,74,167,1,True
214,74,168,2,False
215,75,151,1,True
216,75,169,2,False
217,75,4,3,False
218,76,170,1,True
219,76,171,2,False
220,76,172,3,False
221,76,173,4,False
222,76,174,5,False
223,77,175,1,True
224,77,21,2,False
225,78,176,1,True
226,78,21,2,False
227,78,177,3,False
228,79,178,1,True
229,79,21,2,False
230,80,179,1,True
231,80,180,2,False
232,80,181,3,False
233,80,182,4,False
234,80,183,5,False
235,80,184,6,False
236,81,179,1,True
237,81,180,2,False
238,81,181,3,False
239,81,183,4,False
240,82,185,1,True
241,82,22,2,False
242,82,46,3,False
243,83,186,1,True
244,83,187,2,False
245,84,188,1,True
246,84,189,2,False
247,84,190,3,False
248,85,191,1,True
249,85,21,2,False
250,85,19,3,False
251,86,192,1,True
252,86,140,2,False
253,87,193,1,True
254,87,194,2,False
255,87,195,3,False
256,87,196,4,False
257,88,197,1,True
258,88,198,2,False
259,88,199,3,False
260,89,155,1,True
261,89,4,2,False
262,89,30,3,False
263,90,200,1,True
264,90,201,2,False
265,90,153,3,False
266,91,30,1,True
267,91,5,2,False
268,91,4,3,False
269,92,202,1,True
270,92,203,2,False
271,93,204,1,True
272,93,205,2,False
273,93,206,3,False
274,93,207,4,False
275,93,208,5,False
276,93,209,6,False
277,94,210,1,True
278,94,56,2,False
279,95,211,1,True
280,95,212,2,False
281,95,213,3,False
282,95,95,4,False
283,96,214,1,True
284,96,215,2,False
285,96,216,3,False
286,97,217,1,True
287,97,218,2,False
288,98,219,1,True
289,98,220,2,False
290,99,221,1,True
291,99,222,2,False
292,99,223,3,False
293,99,224,4,False
294,99,225,5,False
295,100,226,1,True
296,100,227,2,False
297,100,228,3,False
298,101,229,1,True
299,101,230,2,False
300,102,231,1,True
301,102,4,2,False
302,102,232,3,False
303,102,233,4,False
304,102,234,5,False
305,103,178,1,True
306,103,21,2,False
307,104,21,1,True
308,104,235,2,False
309,104,236,3,False
310,104,178,4,False
311,104,237,5,False
312,105,238,1,True
313,105,239,2,False
314,106,240,1,True
315,106,241,2,False
316,106,242,3,False
317,106,243,4,False
318,107,244,1,True
319,107,245,2,False
320,107,246,3,False
321,107,26,4,False
322,108,247,1,True
323,108,248,2,False
324,108,249,3,False
325,109,250,1,True
326,109,251,2,False
327,109,252,3,False
328,109,253,4,False
329,110,254,1,True
330,110,255,2,False
331,110,256,3,False
332,111,257,1,True
333,111,187,2,False
334,112,258,1,True
335,112,259,2,False
336,112,260,3,False
337,112,261,4,False
338,113,262,1,True
339,113,263,2,False
340,113,264,3,False
341,114,265,1,True
342,114,266,2,False
343,114,4,3,False
344,114,267,4,False
345,115,268,1,True
346,115,269,2,False
347,115,270,3,False
348,115,271,4,False
349,116,272,1,True
350,116,273,2,False
351,116,274,3,False
352,116,275,4,False
353,117,276,1,True
354,117,277,2,False
355,119,278,1,True
356,119,22,2,False
357,120,279,1,True
358,120,55,2,False
359,120,22,3,False
360,121,280,1,True
361,121,281,2,False
362,122,282,1,True
363,122,6,2,False
364,122,283,3,False
365,123,284,1,True
366,123,285,2,False
367,123,286,3,False
368,124,171,1,True
369,124,172,2,False
370,124,287,3,False
371,124,288,4,False
372,125,171,1,True
373,125,172,2,False
374,125,289,3,False
375,125,287,4,False
376,126,290,1,True
377,126,291,2,False
378,126,159,3,False
379,126,292,4,False
380,126,10,5,False
381,127,293,1,True
382,127,294,2,False
383,127,295,3,False
384,128,296,1,True
385,128,297,2,False
386,128,298,3,False
387,128,299,4,False
388,128,300,5,False
389,128,301,6,False
390,128,302,7,False
391,128,303,8,False
392,129,304,1,True
393,129,305,2,False
394,130,304,1,True
395,130,306,2,False
396,130,307,3,False
397,131,308,1,True
398,131,309,2,False
399,132,310,1,True
400,132,4,2,False
401,132,311,3,False
402,132,312,4,False
403,132,313,5,False
404,133,314,1,True
405,133,315,2,False
406,133,140,3,False
407,134,316,1,True
408,134,317,2,False
409,134,318,3,False
410,135,4,1,True
411,135,319,2,False
412,135,5,3,False
413,135,320,4,False
414,136,321,1,True
415,136,322,2,False
416,137,151,1,True
417,137,30,2,False
418,137,228,3,False
419,137,5,4,False
420,137,4,5,False
421,138,323,1,True
422,138,4,2,False
423,138,324,3,False
424,139,21,1,True
425,139,325,2,False
426,139,191,3,False
427,139,326,4,False
428,139,327,5,False
429,139,328,6,False
430,140,329,1,True
431,140,330,2,False
432,140,331,3,False
433,140,332,4,False
434,141,333,1,True
435,141,334,2,False
436,141,335,3,False
437,141,225,4,False
438,142,336,1,True
439,142,95,2,False
440,142,94,3,False
441,143,337,1,True
442,143,338,2,False
443,143,339,3,False
444,146,340,1,True
445,146,341,2,False
446,146,227,3,False
447,146,228,4,False
448,147,342,1,True
449,147,343,2,False
450,148,344,1,True
451,148,345,2,False
452,148,346,3,False
453,149,347,1,True
454,149,348,2,False
455,149,349,3,False
456,150,279,1,True
457,150,55,2,False
458,150,22,3,False
459,151,350,1,True
460,151,351,2,False
461,152,352,1,True
462,152,140,2,False
463,153,353,1,True
464,153,354,2,False
465,154,293,1,True
466,154,355,2,False
467,154,295,3,False
468,155,356,1,True
469,155,357,2,False
470,155,358,3,False
471,156,359,1,True
472,156,360,2,False
473,157,361,1,True
474,157,362,2,False
475,158,140,1,True
476,158,363,2,False
477,159,140,1,True
478,159,349,2,False
479,160,364,1,True
480,160,365,2,False
481,160,366,3,False
482,160,367,4,False
483,161,211,1,True
484,161,213,2,False
485,161,95,3,False
486,162,214,1,True
487,162,215,2,False
488,162,368,3,False
