id_pessoa,nome,instituicao
1,Jorge Campos,Universidade Salvador (UNIFACS)
2,Andr� Santanch�,Universidade Salvador (UNIFACS)
3,C�sar Teixeira,Universidade Salvador (UNIFACS)
4,Gilberto C�mara,Instituto Nacional de Pesquisas Espaciais (INPE)
5,Ricardo Cartaxo Modesto de Souza,Instituto Nacional de Pesquisas Espaciais (INPE)
6,Ant�nio Miguel Vieira Monteiro,Instituto Nacional de Pesquisas Espaciais (INPE)
7,Jo�o Argemiro Paiva,Instituto Nacional de Pesquisas Espaciais (INPE)
8,Juan Carlos Pinto de Garrido,Instituto Nacional de Pesquisas Espaciais (INPE)
9,Clodoveu A. Davis J�nior,PRODABEL
10,Alberto H. F. Laender,Universidade Federal de Minas Gerais (UFMG)
11,Carlos Alberto Felgueiras,Instituto Nacional de Pesquisas Espaciais (INPE)
12,Eduardo Celso Gerbi Camargo,Instituto Nacional de Pesquisas Espaciais (INPE)
13,Gilberto C�mara Neto,Instituto Nacional de Pesquisas Espaciais (INPE)
14,Suzana Druck Fuks,Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)
15,Marcelo Gattass,Tecgraf – Computer Graphics Technology Group
16,Carla Cristina F. Ferreira,Tecgraf – Computer Graphics Technology Group
17,Alexandre S. Vilar,Tecgraf – Computer Graphics Technology Group
18,Mark S. Glasberg,Tecgraf – Computer Graphics Technology Group
19,Jugurta Lisboa Filho,Universidade Federal de Vi–osa (UFV)
20,Andreia Castro Costa,Universidade Federal do Rio Grande do Sul (UFRGS)
21,Cirano Iochpe,Universidade Federal do Rio Grande do Sul (UFRGS)
22,Claudia Bauzer Medeiros,Universidade Estadual de Campinas (UNICAMP)
23,Alexandre Carvalho de Alencar,Universidade Estadual de Campinas (UNICAMP)
24,Val�ria Gon�alves Soares,Universidade Federal de Pernambuco (UFPE)
25,Ana Carolina Salgado,Universidade Federal de Pernambuco (UFPE)
26,Ricardo Rodrigues Ciferri,Universidade Estadual de Maring– (UEM)
27,Jonas Gomes,Instituto de Matem–tica Pura e Aplicada (IMPA)
28,Luiz Velho,Instituto de Matem–tica Pura e Aplicada (IMPA)
29,Bianca Maria Pedrosa,Instituto Nacional de Pesquisas Espaciais (INPE)
30,L�bia Vinhas,Instituto Nacional de Pesquisas Espaciais (INPE)
31,Marcelo Tulio de Carvalho,Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)
32,Marcelo Gattass,Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)
33,Clodoveu A. Davis Junir,PRODABEL
34,Jose Antonio Ferrari,Instituto Geol–gico (IG)
35,Alain Mangin,Laboratoire Souterrain du Centre National de Recherche Scientifique
36,Frederico Fonseca,University of Maine
37,Max Egenhofer,University of Maine
38,Karla A. V. Borges,PRODABEL
39,S�nia Virg�nia Alves Fran�a,Universidade Tiradentes (UNIT)
40,Carlos Andr� Guimar�es Ferraz,Universidade Federal de Pernambuco (UFPE)
41,Sandro Danilo Gatti,Universidade Estadual de Campinas (UNICAMP)
42,Geovane Cayres Magalh�es,Universidade Estadual de Campinas (UNICAMP)
43,Daniel dos Santos Kaster,Universidade Estadual de Campinas (UNICAMP)
44,Helo�sa Vieira Rocha,Universidade Estadual de Campinas (UNICAMP)
45,Lucimar Moreira,Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)
46,Eduardo Delgado Assad,Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)
47,Jos� Roberto Osses,"Funda––o de Ci–ncia, Aplica––es e Tecnologia Espaciais (FUNCATE)"
48,Jo�o Argemiro de Carvalho Paiva,Instituto Nacional de Pesquisas Espaciais (INPE)
49,Helio Alvaro de Mello Perez,Instituto Militar de Engenharia (IME)
50,Ana Maria de Carvalho Moura,Instituto Militar de Engenharia (IME)
51,Asterio Kiyoshi Tanaka,Universidade Federal do Rio de Janeiro (UFRJ)
52,Aluir Porfirio Dal Poz,Universidade  Estadual Paulista (UNESP)
53,Peggy Agouris,University of Maine
54,Alysson Bolognesi Prado,Universidade Estadual de Campinas (UNICAMP)
55,M. Cec�lia C. Baranauskas,Universidade Estadual de Campinas (UNICAMP)
56,Cl�udia M. Bauzer Medeiros,Universidade Estadual de Campinas (UNICAMP)
