"id_pessoa","nome","instituicao"
"1","Artur Ribeiro de Aquino","Universidade Federal de Santa Catarina (UFSC)"
"2","Luis Otavio Alvares","Universidade Federal de Santa Catarina (UFSC)"
"3","Chiara Renso","KDD Lab"
"4","Vania Bogorny","Universidade Federal de Santa Catarina (UFSC)"
"5","Cl�udio de Souza Baptista","Universidade Federal de Campina Grande (UFCG)"
"6","Luciana Cavalcante de Menezes","Universidade Federal de Campina Grande (UFCG)"
"7","Maxwell Guimar�es de Oliveira","Universidade Federal de Campina Grande (UFCG)"
"8","Ana Gabrielle Ramos Falc�o","Universidade Federal de Campina Grande (UFCG)"
"9","Leandro Balby Marinho","Universidade Federal de Campina Grande (UFCG)"
"10","Alisson Fernando Coelho do Carmo","Universidade Estadual Paulista (UNESP)"
"11","Milton Hirokazu Shimabukuro","Universidade Estadual Paulista (UNESP)"
"12","Enner Herenio de Alc�ntara","Universidade Estadual Paulista (UNESP)"
"13","George Henrique Rangel Costa","Universidade do Estado de Santa Catarina (UDESC)"
"14","Fabiano Baldo","Universidade do Estado de Santa Catarina (UDESC)"
"15","Clodoveu A. Davis Junior","Universidade Federal de Minas Gerais (UFMG)"
"16","Hugo de Souza Vellozo","Universidade Federal de Minas Gerais (UFMG)"
"17","Michele Brito Pinheiro","Universidade Federal de Minas Gerais (UFMG)"
"18","Luiz Gustavo Diniz","Instituto Nacional de Pesquisas Espaciais (INPE)"
"19","Merret Buurman","University of Muenster"
"20","Pedro R. Andrade","Instituto Nacional de Pesquisas Espaciais (INPE)"
"21","Gilberto Camara","Instituto Nacional de Pesquisas Espaciais (INPE)"
"22","Edzer Pebesma","University of Muenster"
"23","Chaulio R. Ferreira","Universidade Federal de Vi–osa (UFV)"
"24","Marcus V. A. Andrade","Universidade Federal de Vi–osa (UFV)"
"25","Salles V. G. Magalhaes","Universidade Federal de Vi–osa (UFV)"
"26","W. R. Franklin","Rensselaer Polytechnic Institute"
"27","Guilherme C. Pena","Universidade Federal de Vi–osa (UFV)"
"28","Vitor Cunha Fontes","Universidade Federal de Santa Catarina (UFSC)"
"29","Lucas Andre de Alencar","Universidade Federal de Santa Catarina (UFSC)"
"30","Chiara Renso","University of Pisa"
"31","Henrique R. A. Freitas","Instituto Nacional de Pesquisas Espaciais (INPE)"
"32","Sergio Rosim","Instituto Nacional de Pesquisas Espaciais (INPE)"
"33","Jo�o R. F. Oliveira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"34","Corina da Costa Freitas","Instituto Nacional de Pesquisas Espaciais (INPE)"
"35","Paulo J. A. Gimenez","Universidade Federal do Estado do Rio de Janeiro (UNIRIO)"
"36","Ast�rio K. Tanaka","Universidade Federal do Estado do Rio de Janeiro (UNIRIO)"
"37","Fernanda Bai�o","Universidade Federal do Estado do Rio de Janeiro (UNIRIO)"
"38","Tiago F. M. Lima","Universidade Federal de Ouro Preto (UFOP)"
"39","Tiago G. S. Carneiro","Universidade Federal de Ouro Preto (UFOP)"
"40","Raquel M. Lana","Funda––o Oswaldo Cruz (FIOCRUZ)"
"41","Cl�udia T. Code�o","Funda––o Oswaldo Cruz (FIOCRUZ)"
"42","Raian V. Maretto","Instituto Nacional de Pesquisas Espaciais (INPE)"
"43","Liliam C. C. Medeiros","Universidade Estadual Paulista (UNESP)"
"44","Leandro G. Silva","Universidade Federal de Ouro Preto (UFOP)"
"45","Leonardo B. L. Santos","Instituto Nacional de Pesquisas Espaciais (INPE)"
"46","Isabel C. dos Reis","Funda––o Oswaldo Cruz (FIOCRUZ)"
"47","Fl�vio Code�o Coelho","Funda––o Get–lio Vargas (FGV)"
"48","Ant�nio M. V. Monteiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"49","Tiago Henrique V. M. de Moura","Universidade Federal de Minas Gerais (UFMG)"
"50","Clodoveu A. Davir Junior","Universidade Federal de Minas Gerais (UFMG)"
"51","Salles V. G. Magalh�es","Universidade Federal de Vi–osa (UFV)"
"52","Jefferson A. da Silva","Universidade do Estado do Maranh–o (UEMA)"
"53","Karla D. Fook","Instituto Federal de Educa––o, Ci–ncia e Tecnologia do Maranh–o (IFMA)"
"54","Thiago Lu�s Lopes Siqueira","Universidade Federal de S–o Carlos (UFSCar)"
"55","Jo�o Celso Santos de Oliveira","Universidade Federal de S–o Carlos (UFSCar)"
"56","Val�ria Ces�rio Times","Universidade Federal de Pernambuco (UFPE)"
"57","Cristina Dutra de Aguiar Ciferri","Universidade de S–o Paulo (USP)"
"58","Ricardo Rodrigues Ciferri","Universidade Federal de S–o Carlos (UFSCar)"
"59","Wagner D. Souza","Universidade Federal de Vi–osa (UFV)"
"60","Jugurta Lisboa-Filho","Universidade Federal de Vi–osa (UFV)"
"61","Jarbas N. Vidal Filho","Universidade Federal de Vi–osa (UFV)"
"62","Jean H. S. Camara","Universidade Federal de Vi–osa (UFV)"
"63","Br�ulio Veloso","Universidade Federal de Ouro Preto (UFOP)"
"64","Andr�a Iabrudi","Universidade Federal de Ouro Preto (UFOP)"
"65","Thais Correa","Universidade Federal de Ouro Preto (UFOP)"
