"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","1","4","4","FALSE"
"5","1","5","5","FALSE"
"6","2","6","1","TRUE"
"7","2","7","2","FALSE"
"8","2","8","3","FALSE"
"9","3","9","1","TRUE"
"10","3","10","2","FALSE"
"11","3","11","3","FALSE"
"12","4","9","1","TRUE"
"13","4","10","2","FALSE"
"14","4","11","3","FALSE"
"15","5","12","1","TRUE"
"16","5","13","2","FALSE"
"17","5","14","3","FALSE"
"18","6","15","1","TRUE"
"19","6","16","2","FALSE"
"20","6","17","3","FALSE"
"21","6","18","4","FALSE"
"22","7","19","1","TRUE"
"23","7","20","2","FALSE"
"24","7","21","3","FALSE"
"25","7","22","4","FALSE"
"26","7","23","5","FALSE"
"27","8","24","1","TRUE"
"28","8","25","2","FALSE"
"29","8","26","3","FALSE"
"30","9","27","1","TRUE"
"31","9","28","2","FALSE"
"32","9","29","3","FALSE"
"33","9","30","4","FALSE"
"34","10","31","1","TRUE"
"35","10","32","2","FALSE"
"36","10","33","3","FALSE"
"37","10","34","4","FALSE"
"38","10","35","5","FALSE"
"39","11","36","1","TRUE"
"40","11","37","2","FALSE"
"41","12","38","1","TRUE"
"42","12","39","2","FALSE"
"43","12","40","3","FALSE"
"44","12","41","4","FALSE"
"45","13","42","1","TRUE"
"46","13","26","2","FALSE"
"47","13","25","3","FALSE"
"48","14","43","1","TRUE"
"49","14","44","2","FALSE"
"50","14","45","3","FALSE"
"51","14","46","4","FALSE"
"52","15","47","1","TRUE"
"53","15","48","2","FALSE"
"54","15","49","3","FALSE"
"55","15","50","4","FALSE"
"56","15","51","5","FALSE"
"57","16","52","1","TRUE"
"58","16","53","2","FALSE"
"59","16","54","3","FALSE"
"60","16","55","4","FALSE"
"61","16","56","5","FALSE"
"62","16","57","6","FALSE"
"63","16","58","7","FALSE"
"64","17","59","1","TRUE"
"65","17","60","2","FALSE"
"66","17","5","3","FALSE"
"67","18","61","1","TRUE"
"68","18","62","2","FALSE"
"69","18","63","3","FALSE"
"70","18","64","4","FALSE"
"71","19","65","1","TRUE"
"72","19","66","2","FALSE"
"73","19","67","3","FALSE"
"74","19","68","4","FALSE"
"75","19","69","5","FALSE"
"76","20","70","1","TRUE"
"77","20","71","2","FALSE"
"78","20","63","3","FALSE"
"79","21","72","1","TRUE"
"80","21","73","2","FALSE"
"81","21","74","3","FALSE"
"82","21","75","4","FALSE"
"83","21","76","5","FALSE"
"84","21","77","6","FALSE"
"85","22","78","1","TRUE"
"86","22","79","2","FALSE"
"87","22","80","3","FALSE"
