"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
1,1,1,1,"FALSE"
2,1,2,2,"FALSE"
3,1,3,3,"FALSE"
4,1,4,4,"FALSE"
5,2,5,1,"FALSE"
6,2,6,2,"FALSE"
7,2,7,3,"FALSE"
8,2,8,4,"FALSE"
9,2,9,5,"FALSE"
10,2,10,6,"FALSE"
11,2,11,7,"FALSE"
12,3,12,1,"FALSE"
13,3,13,2,"FALSE"
14,3,14,3,"FALSE"
15,4,15,1,"FALSE"
16,4,16,2,"FALSE"
17,4,17,3,"FALSE"
18,4,18,4,"FALSE"
19,4,19,5,"FALSE"
20,4,20,6,"FALSE"
21,5,21,1,"FALSE"
22,5,22,2,"FALSE"
23,5,23,3,"FALSE"
24,5,24,4,"FALSE"
25,5,25,5,"FALSE"
26,6,26,1,"FALSE"
27,6,27,2,"FALSE"
28,7,28,1,"FALSE"
29,7,29,2,"FALSE"
30,7,30,3,"FALSE"
31,7,31,4,"FALSE"
32,7,32,5,"FALSE"
33,8,33,1,"FALSE"
34,8,34,2,"FALSE"
35,8,29,3,"FALSE"
36,8,35,4,"FALSE"
37,8,36,5,"FALSE"
38,9,37,1,"FALSE"
39,9,38,2,"FALSE"
40,9,39,3,"FALSE"
41,9,40,4,"FALSE"
42,9,41,5,"FALSE"
43,10,42,1,"FALSE"
44,10,43,2,"FALSE"
45,11,44,1,"FALSE"
46,11,45,2,"FALSE"
47,11,46,3,"FALSE"
48,11,47,4,"FALSE"
49,11,48,5,"FALSE"
50,12,44,1,"FALSE"
51,12,45,2,"FALSE"
52,12,49,3,"FALSE"
53,12,48,4,"FALSE"
54,13,50,1,"FALSE"
55,13,51,2,"FALSE"
56,13,52,3,"FALSE"
57,13,53,4,"FALSE"
58,13,54,5,"FALSE"
59,13,24,6,"FALSE"
60,13,55,7,"FALSE"
61,13,56,8,"FALSE"
62,13,4,9,"FALSE"
63,13,57,10,"FALSE"
64,13,58,11,"FALSE"
65,13,59,12,"FALSE"
66,13,60,13,"FALSE"
67,13,61,14,"FALSE"
68,13,62,15,"FALSE"
69,13,63,16,"FALSE"
70,13,64,17,"FALSE"
71,13,65,18,"FALSE"
72,13,66,19,"FALSE"
73,13,67,20,"FALSE"
74,13,23,21,"FALSE"
75,13,68,22,"FALSE"
76,13,69,23,"FALSE"
77,14,70,1,"FALSE"
78,14,1,2,"FALSE"
79,14,2,3,"FALSE"
80,15,71,1,"FALSE"
81,15,72,2,"FALSE"
82,15,73,3,"FALSE"
83,15,74,4,"FALSE"
84,15,75,5,"FALSE"
85,15,76,6,"FALSE"
86,15,77,7,"FALSE"
87,15,78,8,"FALSE"
88,15,79,9,"FALSE"
89,15,80,10,"FALSE"
90,15,81,11,"FALSE"
91,15,82,12,"FALSE"
92,15,83,13,"FALSE"
93,15,84,14,"FALSE"
94,15,85,15,"FALSE"
95,15,86,16,"FALSE"
96,15,87,17,"FALSE"
97,15,88,18,"FALSE"
98,15,89,19,"FALSE"
99,15,90,20,"FALSE"
100,15,91,21,"FALSE"
101,15,92,22,"FALSE"
102,15,93,23,"FALSE"
103,15,94,24,"FALSE"
104,15,95,25,"FALSE"
105,15,96,26,"FALSE"
106,15,97,27,"FALSE"
107,15,98,28,"FALSE"
108,15,99,29,"FALSE"
109,15,100,30,"FALSE"
110,15,101,31,"FALSE"
111,15,102,32,"FALSE"
112,15,103,33,"FALSE"
113,15,104,34,"FALSE"
114,15,105,35,"FALSE"
115,15,106,36,"FALSE"
116,15,107,37,"FALSE"
117,15,108,38,"FALSE"
118,16,109,1,"FALSE"
119,16,110,2,"FALSE"
120,16,111,3,"FALSE"
121,16,112,4,"FALSE"
122,17,113,1,"FALSE"
123,17,114,2,"FALSE"
124,17,115,3,"FALSE"
125,17,116,4,"FALSE"
126,17,117,5,"FALSE"
127,17,118,6,"FALSE"
128,17,119,7,"FALSE"
129,17,120,8,"FALSE"
130,17,121,9,"FALSE"
131,17,24,10,"FALSE"
132,18,122,1,"FALSE"
133,18,123,2,"FALSE"
134,18,124,3,"FALSE"
135,18,125,4,"FALSE"
136,18,79,5,"FALSE"
137,18,126,6,"FALSE"
138,19,127,1,"FALSE"
139,19,128,2,"FALSE"
140,19,124,3,"FALSE"
141,19,129,4,"FALSE"
142,19,126,5,"FALSE"
143,20,130,1,"FALSE"
144,20,29,2,"FALSE"
145,20,131,3,"FALSE"
146,20,36,4,"FALSE"
147,20,34,5,"FALSE"
148,20,81,6,"FALSE"
149,20,132,7,"FALSE"
150,21,133,1,"FALSE"
151,21,134,2,"FALSE"
152,21,135,3,"FALSE"
153,21,136,4,"FALSE"
154,21,137,5,"FALSE"
155,21,138,6,"FALSE"
156,21,139,7,"FALSE"
157,21,140,8,"FALSE"
158,21,141,9,"FALSE"
159,21,142,10,"FALSE"
160,21,143,11,"FALSE"
161,21,144,12,"FALSE"
162,22,145,1,"FALSE"
163,22,146,2,"FALSE"
164,23,147,1,"FALSE"
165,23,148,2,"FALSE"
166,23,120,3,"FALSE"
167,23,149,4,"FALSE"
168,24,150,1,"FALSE"
169,24,151,2,"FALSE"
170,24,152,3,"FALSE"
171,24,153,4,"FALSE"
172,25,154,1,"FALSE"
173,25,155,2,"FALSE"
174,25,156,3,"FALSE"
175,25,157,4,"FALSE"
176,26,158,1,"FALSE"
177,26,159,2,"FALSE"
178,26,160,3,"FALSE"
179,26,161,4,"FALSE"
180,27,162,1,"FALSE"
181,27,163,2,"FALSE"
182,27,164,3,"FALSE"
183,27,165,4,"FALSE"
184,27,166,5,"FALSE"
185,27,167,6,"FALSE"
186,27,168,7,"FALSE"
187,27,169,8,"FALSE"
188,27,170,9,"FALSE"
189,28,171,1,"FALSE"
190,28,172,2,"FALSE"
191,28,173,3,"FALSE"
192,28,174,4,"FALSE"
193,29,175,1,"FALSE"
194,29,43,2,"FALSE"
195,29,176,3,"FALSE"
196,30,5,1,"FALSE"
197,30,7,2,"FALSE"
198,30,8,3,"FALSE"
199,30,6,4,"FALSE"
200,30,9,5,"FALSE"
201,30,10,6,"FALSE"
202,30,177,7,"FALSE"
203,31,178,1,"FALSE"
204,31,23,2,"FALSE"
205,31,179,3,"FALSE"
206,31,24,4,"FALSE"
207,31,180,5,"FALSE"
208,31,66,6,"FALSE"
209,31,181,7,"FALSE"
210,31,182,8,"FALSE"
211,31,183,9,"FALSE"
212,31,184,10,"FALSE"
213,31,185,11,"FALSE"
214,32,186,1,"FALSE"
215,32,187,2,"FALSE"
216,32,188,3,"FALSE"
217,32,189,4,"FALSE"
218,32,190,5,"FALSE"
219,32,191,6,"FALSE"
220,32,24,7,"FALSE"
221,32,118,8,"FALSE"
222,33,26,1,"FALSE"
223,33,192,2,"FALSE"
224,33,193,3,"FALSE"
225,33,194,4,"FALSE"
226,33,27,5,"FALSE"
227,34,195,1,"FALSE"
228,34,196,2,"FALSE"
229,34,197,3,"FALSE"
230,34,198,4,"FALSE"
231,34,199,5,"FALSE"
232,35,200,1,"FALSE"
233,35,201,2,"FALSE"
234,35,202,3,"FALSE"
235,35,203,4,"FALSE"
236,35,204,5,"FALSE"
237,35,205,6,"FALSE"
238,35,20,7,"FALSE"
239,35,206,8,"FALSE"
240,35,16,9,"FALSE"
241,35,207,10,"FALSE"
242,35,17,11,"FALSE"
243,36,208,1,"FALSE"
244,36,209,2,"FALSE"
245,37,210,1,"FALSE"
246,37,132,2,"FALSE"
247,37,211,3,"FALSE"
248,38,212,1,"FALSE"
249,38,213,2,"FALSE"
250,38,214,3,"FALSE"
251,38,34,4,"FALSE"
252,38,20,5,"FALSE"
253,38,215,6,"FALSE"
254,38,216,7,"FALSE"
255,38,16,8,"FALSE"
256,39,217,1,"FALSE"
257,39,218,2,"FALSE"
258,39,219,3,"FALSE"
259,40,220,1,"FALSE"
260,40,6,2,"FALSE"
261,40,221,3,"FALSE"
262,40,222,4,"FALSE"
263,40,223,5,"FALSE"
264,40,224,6,"FALSE"
265,41,187,1,"FALSE"
266,41,225,2,"FALSE"
267,42,226,1,"FALSE"
268,42,6,2,"FALSE"
269,42,9,3,"FALSE"
270,42,227,4,"FALSE"
271,42,228,5,"FALSE"
272,42,229,6,"FALSE"
273,42,230,7,"FALSE"
274,42,231,8,"FALSE"
275,43,232,1,"FALSE"
276,43,233,2,"FALSE"
277,43,4,3,"FALSE"
278,44,234,1,"FALSE"
279,44,235,2,"FALSE"
280,44,236,3,"FALSE"
281,45,237,1,"FALSE"
282,45,238,2,"FALSE"
283,45,239,3,"FALSE"
284,46,240,1,"FALSE"
285,46,241,2,"FALSE"
286,46,242,3,"FALSE"
287,46,243,4,"FALSE"
288,47,244,1,"FALSE"
289,47,245,2,"FALSE"
290,47,198,3,"FALSE"
291,47,199,4,"FALSE"
292,48,246,1,"FALSE"
293,48,247,2,"FALSE"
294,48,198,3,"FALSE"
295,48,69,4,"FALSE"
296,49,248,1,"FALSE"
297,49,249,2,"FALSE"
298,49,250,3,"FALSE"
299,49,251,4,"FALSE"
300,50,252,1,"FALSE"
301,50,253,2,"FALSE"
302,50,254,3,"FALSE"
303,50,255,4,"FALSE"
304,51,256,1,"FALSE"
305,51,257,2,"FALSE"
306,51,258,3,"FALSE"
307,51,259,4,"FALSE"
308,51,260,5,"FALSE"
309,51,261,6,"FALSE"
310,51,262,7,"FALSE"
311,52,263,1,"FALSE"
312,52,264,2,"FALSE"
313,52,265,3,"FALSE"
314,53,266,1,"FALSE"
315,53,234,2,"FALSE"
316,53,267,3,"FALSE"
317,54,266,1,"FALSE"
318,54,268,2,"FALSE"
319,54,267,3,"FALSE"
320,55,269,1,"FALSE"
321,55,270,2,"FALSE"
322,55,271,3,"FALSE"
323,55,186,4,"FALSE"
324,55,118,5,"FALSE"
325,56,269,1,"FALSE"
326,56,23,2,"FALSE"
327,56,55,3,"FALSE"
328,56,24,4,"FALSE"
329,56,118,5,"FALSE"
330,56,272,6,"FALSE"
331,57,273,1,"FALSE"
332,57,69,2,"FALSE"
333,57,4,3,"FALSE"
334,58,274,1,"FALSE"
335,58,263,2,"FALSE"
336,58,275,3,"FALSE"
337,59,276,1,"FALSE"
338,59,277,2,"FALSE"
339,60,278,1,"FALSE"
340,60,23,2,"FALSE"
341,60,181,3,"FALSE"
342,60,279,4,"FALSE"
343,60,280,5,"FALSE"
344,61,281,1,"FALSE"
345,61,282,2,"FALSE"
