"id_revisor","id_pessoa","n_edicao"
1,284,24
2,285,24
3,286,24
4,287,24
5,288,24
6,289,24
7,290,24
8,291,24
9,292,24
10,293,24
11,294,24
12,295,24
13,296,24
14,297,24
15,298,24
16,299,24
17,300,24
18,301,24
19,302,24
20,303,24
21,304,24
22,305,24
23,306,24
24,307,24
25,308,24
26,309,24
27,310,24
28,311,24
29,23,24
30,312,24
31,313,24
32,314,24
33,81,24
34,315,24
35,316,24
36,317,24
37,318,24
38,319,24
39,320,24
40,321,24
41,322,24
42,323,24
43,324,24
44,126,24
45,325,24
46,326,24
47,327,24
48,328,24
49,329,24
50,330,24
51,331,24
52,332,24
53,333,24
