id_pessoa,nome,instituicao
1,Rodrigo S. S. Adeu,Embraer
2,Karine Reis Ferreira,Instituto Nacional de Pesquisas Espaciais (INPE)
3,Pedro Ribeiro de Andrade,Instituto Nacional de Pesquisas Espaciais (INPE)
4,Lorena Santos,Instituto Nacional de Pesquisas Espaciais (INPE)
5,Erick de Barros Alc�ntara,Universidade Federal de S–o Jo–o Del Rei (UFSJ)
6,Marconi de Arruda Pereira,Universidade Federal de S–o Jo–o Del Rei (UFSJ)
7,M�rio Balan,Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)
8,Jaudete Daltio,Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)
9,Silvia Goldman Ber Kapel,Universidade de S–o Paulo (USP)
10,Jorge Rady de Almeida J�nior,Universidade de S–o Paulo (USP)
11,Diego Xavier Bezerra,Instituto Nacional de Pesquisas Espaciais (INPE)
12,Gustavo Willy Nagel,Instituto Nacional de Pesquisas Espaciais (INPE)
13,Ra�ssa Caroline dos Santos Teixeira,Instituto Nacional de Pesquisas Espaciais (INPE)
14,Stella Correia Cesar Coelho,Instituto Nacional de Pesquisas Espaciais (INPE)
15,Victor Alvarenga Carvalho,Universidade Federal de Vi–osa (UFV)
16,Sabrina Paes Leme Passos Correa,Instituto Nacional de Pesquisas Espaciais (INPE)
17,Afonso de Paula dos Santos,Universidade Federal de Vi–osa (UFV)
18,Vin�cius Ceccon,Universidade Tecnol–gica Federal do Paran– (UTFPR)
19,Pedro Vinicius Yamamoto Agner de Faria,Universidade Tecnol–gica Federal do Paran– (UTFPR)
20,Danielli Batistella,Universidade Federal do Paran– (UFPR)
21,Vanderlei Aparecido de Lima,Universidade Federal do Paran– (UFPR)
22,Gabriel T. P. Coimbra,Universidade Federal de Vi–osa (UFV)
23,Cl�udio Gustavo S. Capanema,Universidade Federal de Vi–osa (UFV)
24,Fabr�cio A. Silva,Universidade Federal de Vi–osa (UFV)
25,Thais R. M. Braga Silva,Universidade Federal de Vi–osa (UFV)
26,Katyanne Viana da Concei��o,Instituto Nacional de Pesquisas Espaciais (INPE)
27,Michel Eust�quio Dantas Chaves,Instituto Nacional de Pesquisas Espaciais (INPE)
28,Daniel G. Duft,Universidade de S–o Paulo (USP)
29,Ana C. S. Luciano,Universidade Estadual de Campinas (UNICAMP)
30,Peterson R. Fiorio,Universidade de S–o Paulo (USP)
31,Andeise Cerqueira Dutra,Instituto Nacional de Pesquisas Espaciais (INPE)
32,Egidio Arai,Instituto Nacional de Pesquisas Espaciais (INPE)
33,Yosio Edemir Shimabukuro,Instituto Nacional de Pesquisas Espaciais (INPE)
